Category,Model,Weight lb,Color,Year,Generation,Image
Galaxy,S II,1,White,,,Galaxy/s2_white.png
Galaxy,S II,1,Black,,,Galaxy/s2_black.png
Galaxy,S III,1,White,,,Galaxy/s3_white.png
Galaxy,S III,1,Black,,,Galaxy/s3_black.png
Galaxy,S III,1,Brown,,,Galaxy/s3_brown.png
Galaxy,S III,1,Blue,,,Galaxy/s3_blue.png
Galaxy,S III,1,Red,,,Galaxy/s3_red.png
Galaxy,Note,1,White,,,Galaxy/note_white.png
Galaxy,Note,1,Blue,,,Galaxy/note_blue.png
Galaxy,Note 2,1,White,,,Galaxy/note2_white.png
Galaxy,Note 2,1,Gray,,,Galaxy/note2_gray.png
iPhone,iPhone 3G,1,White,,,iPhone/3_white.png
iPhone,iPhone 3G,1,Black,,,iPhone/3_black.png
iPhone,iPhone 3GS,1,White,,,iPhone/3s_white.png
iPhone,iPhone 3GS,1,Black,,,iPhone/3s_black.png
iPhone,iPhone 4,1,White,,,iPhone/4_white.png
iPhone,iPhone 4,1,Black,,,iPhone/4_black.png
iPhone,iPhone 4S,1,White,,,iPhone/4s_white.png
iPhone,iPhone 4S,1,Black,,,iPhone/4s_black.png
iPhone,iPhone 5,1,White,,,iPhone/5_white.png
iPhone,iPhone 5,1,Black,,,iPhone/5_black.png
iPad,Mini,1,White,,,iPad/mini_white.png
iPad,Mini,1,Black,,,iPad/mini_black.png
iPad,iPad 2,1,Black,,,iPad/2_black.png
iPad,iPad 2,1,White,,,iPad/2_white.png
iPad,iPad 3,1,Black,,,iPad/3_black.png
iPad,iPad 3,1,White,,,iPad/3_white.png
iPad,iPad 4,1,Black,,,iPad/4_black.png
iPad,iPad 4,1,White,,,iPad/4_white.png
Macbook,Macbook Pro,1,,2010,,Macbook/pro/2010.png
Macbook,Macbook Pro,1,,2011,,Macbook/pro/2011.png
Macbook,Macbook Pro,1,,2012,,Macbook/pro/2012.png
Macbook,Macbook Air,1,,2010,,Macbook/air/2010.png
Macbook,Macbook Air,1,,2011,,Macbook/air/2011.png
Macbook,Macbook Air,1,,2012,,Macbook/air/2012.png
iPod,Touch,1,,,2,iPod/touch/2.png
iPod,Touch,1,,,3,iPod/touch/3.png
iPod,Touch,1,,,4,iPod/touch/4.png
iPod,Touch,1,,,5,iPod/touch/5.png
iPod,Nano,1,,,5,iPod/nano/5.png
iPod,Nano,1,,,6,iPod/nano/6.png
iPod,Nano,1,,,7,iPod/nano/7.png
iPod,Classic,1,,,5,iPod/classic/5.png
iPod,Classic,1,,,6,iPod/classic/6.png
