Title,Honey price,Using condition,For sell,For buy,Category,Product model,Weight lb,Year,Space,Network,Color,General,Screen Size,Retina Display ,Memory,Hard Disk,Processor
,,,,,,,,,,,,,,,,,
Mac Pro 2012 13' 2.6Q i7 8G Ram 750GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,8GB,750GB,2.6 Quad-core i7
Mac Pro 2012 15' 2.6Q i7 8G Ram 750GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,8GB,750GB,2.6 Quad-core i7
Mac Pro 2012 13' 2.6Q i7 8G Ram 750GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,8GB,750GB,2.6 Quad-core i7
Mac Pro 2012 15' Retina Display 2.6Q i7 8G Ram 750GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,750GB,2.6 Quad-core i7
Mac Pro 2012 13' Retina Display 2.6Q i7 8G Ram 750GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,750GB,2.6 Quad-core i7
Mac Pro 2012 15' 2.3Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,8GB,500GB,2.3 Quad-core i7
Mac Pro 2012 13' 2.3Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,8GB,500GB,2.3 Quad-core i7
Mac Pro 2012 15' Retina Display 2.3Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,500GB,2.3 Quad-core i7
Mac Pro 2012 13' Retina Display 2.3Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,500GB,2.3 Quad-core i7
Mac Pro 2012 15' 2.2Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,8GB,500GB,2.2 Quad-core i7
Mac Pro 2012 13' 2.2Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,8GB,500GB,2.2 Quad-core i7
Mac Pro 2012 15' Retina Display 2.2Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,500GB,2.2 Quad-core i7
Mac Pro 2012 13' Retina Display 2.2Q i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,500GB,2.2 Quad-core i7
Mac Pro 2012 15' 2.9 i7 8G Ram 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,8GB,256 Flash,2.9 i7
Mac Pro 2012 13' 2.9 i7 8G Ram 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,8GB,256 Flash,2.9 i7
Mac Pro 2012 15' Retina Display 2.9 i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,500GB,2.9 i7
Mac Pro 2012 13' Retina Display 2.9 i7 8G Ram 500GB,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,500GB,2.9 i7
Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,8GB,500GB,2.5 i5
Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,8GB,256 Flash,2.5 i5
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,500GB,2.5 i5
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,500GB,2.5 i5
