Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 1.8 | Hard Drive: 64 Flash  | Mac Air 2012 13' 1.8GHZ 64 Flash 
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 1.8 | Hard Drive: 128 Flash | Mac Air 2012 13' 1.8GHZ 128 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 1.8 | Hard Drive: 256 Flash | Mac Air 2012 13' 1.8GHZ 256 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.0 | Hard Drive: 64 Flash  | Mac Air 2012 13' 2.0GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.0 | Hard Drive: 128 Flash  | Mac Air 2012 13' 2.0GHZ 128 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.0 | Hard Drive: 256 Flash  | Mac Air 2012 13' 2.0GHZ 256 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 1.7 | Hard Drive: 64 Flash  | Mac Air 2012 13' 1.7GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 1.7 | Hard Drive: 128 Flash  | Mac Air 2012 13' 1.7GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 13 | Processor (GHZ): 1.7 | Hard Drive: 256 Flash  | Mac Air 2012 13' 1.7GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 1.8 | Hard Drive: 64 Flash  | Mac Air 2012 11' 1.8GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 1.8 | Hard Drive: 128 Flash  | Mac Air 2012 11' 1.8GHZ 128 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 1.8 | Hard Drive: 256 Flash  | Mac Air 2012 11' 1.8GHZ 256 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 2.0 | Hard Drive: 64 Flash  | Mac Air 2012 11' 2.0GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 2.0 | Hard Drive: 128 Flash  | Mac Air 2012 11' 2.0GHZ 128 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 2.0 | Hard Drive: 256 Flash  | Mac Air 2012 11' 2.0GHZ 256 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 1.7 | Hard Drive: 64 Flash  | Mac Air 2012 11' 1.7GHZ 64 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 1.7 | Hard Drive: 128 Flash  | Mac Air 2012 11' 1.7GHZ 128 Flash
Macbook | Macbook Air | Year: 2012 | Screen Size: 11 | Processor (GHZ): 1.7 | Hard Drive: 256 Flash  | Mac Air 2012 11' 1.7GHZ 256 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.5 i5 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 15 | Processor (GHZ): 2.5 i5 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.5 i5 | Ram: 4GB |  Hard Drive: 128 Flash  | Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 15 | Processor (GHZ): 2.5 i5 | Ram: 4GB |  Hard Drive: 128 Flash  | Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.9 i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 15 | Processor (GHZ): 2.9 i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.9 i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 15 | Processor (GHZ): 2.9 i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.2 Quad-Core i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.2Q i7 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 15 | Processor (GHZ): 2.2 Quad-Core i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.2Q i7 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.2 Quad-Core i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Mac Pro 2012 13' 2.2Q i7 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 15 | Processor (GHZ): 2.2 Quad-Core i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Mac Pro 2012 13' 2.2Q i7 4G Ram 128 Flash
Macbook | Macbook Pro | Year: 2012 | Screen Size: 13 | Processor (GHZ): 2.3 Quad-Core i7 | Ram: 4GB |  Hard Drive: 128 Flash  | Retina Display: true | Mac Pro 2012 13' Retina Display 2.3Q i7 4G Ram 128 Flash
