Title,Flawlesss,Good,Poor,For sell,For buy,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
,,,,,,,,,,,,,,,,,,
Mac Pro 2012 15' 2.6Q i7 8G Ram 750GB,21950,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,8GB,750GB,2.6 Quad-core i7
Mac Pro 2012 15' Retina Display 2.6Q i7 8G Ram 512 Flash,27500,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,512 Flash,2.6 Quad-core i7
Mac Pro 2012 15' Retina Display 2.3Q i7 8G Ram 256 Flash,21950,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,8GB,256 Flash,2.3 Quad-core i7
Mac Pro 2012 15' 2.3Q i7 8G Ram 500GB,17500,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,4GB,500GB,2.3 Quad-core i7
Mac Pro 2012 13' 2.5 i5 4G Ram 500GB,11500,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,4GB,500GB,2.5 i5
Mac Pro 2012 13' Retina Display 2.5 i5 8G Ram 256 Flash,19500,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,256 Flash,2.5 i5
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,16500,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,4GB,128 Flash,2.5 i5
Mac Pro 2012 13' 2.9 i5 8G Ram 750GB,14500,,,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,8GB,750GB,2.9 i7
Mac Air 2012 11' 1.7GHZ 256 Flash,9950,,,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,4GB,64 Flash,1.7GHZ
Mac Air 2012 11' 1.7GHZ 128 Flash,10500,,,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,4GB,128 Flash,1.7GHZ
Mac Air 2012 13' 1.8GHZ 128 Flash,11500,,,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,4GB,128 Flash,1.8GHZ
Mac Air 2012 13' 2.8GHZ 256 Flash,14700,,,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,4GB,256 Flash,1.8GHZ
,,,,,,,,,,,,,,,,,,
iPod Nano 7 - 16GB - Slate,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Slate,7,,,,,
iPod Nano 7 - 16GB - Silver,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Silver,7,,,,,
iPod Nano 7 - 16GB - Purple,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Purple,7,,,,,
iPod Nano 7 - 16GB - Pink,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Pink,7,,,,,
iPod Nano 7 - 16GB - Yellow,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Yellow,7,,,,,
iPod Nano 7 - 16GB - Green,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Green,7,,,,,
iPod Nano 7 - 16GB - Blue,1400,,,FALSE,TRUE,iPod,Nano,1,,16GB,,Blue,7,,,,,
,,,,,,,,,,,,,,,,,,
iPod Touch 5 - 32GB - Slate,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Slate,5,,,,,
iPod Touch 5 - 32GB - Silver,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Silver,5,,,,,
iPod Touch 5 - 32GB - Black,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Black,5,,,,,
