Title,Flawless ,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
,,,,,,,,,,,,,,,,
MacPro Late2012 Retina13' 2.5 i5 8G Ram 256 Flash,1500,1200,600,Macbook,Macbook Pro,1,Late2012,,,,,13,TRUE,8GB,256 Flash,2.5 i5
MacPro Late2012 Retina13' 2.5 i5 8G Ram 128 Flash,1300,1000,500,Macbook,Macbook Pro,1,Late2012,,,,,13,TRUE,8GB,128 Flash,2.5 i5
MacPro Mid2012 13' 2.5 i5 4G Ram 500GB,1000,700,350,Macbook,Macbook Pro,1,Mid2012,,,,,13,,4GB,500GB,2.5 i5
MacPro Mid2012 13' 2.9 i7 4G Ram 750GB,1400,1100,550,Macbook,Macbook Pro,1,Mid2012,,,,,13,,4GB,750GB,2.9 i7
MacPro Late2011 13' 2.8 i7 4GB Ram 750GB,950,650,325,Macbook,Macbook Pro,1,Late2011,,,,,13,,4GB,750GB,2.8 i7
MacPro Late2011 13' 2.4 i5 4GB Ram 500GB,700,500,250,Macbook,Macbook Pro,1,Late2011,,,,,13,,4GB,500GB,2.4 i5
MacPro Early2011 13' 2.7 i7 4GB Ram 500GB,650,400,200,Macbook,Macbook Pro,1,Early2011,,,,,13,,4GB,500GB,2.7 i7
MacPro Early2011 13' 2.3 i5 4GB Ram 320GB,550,350,175,Macbook,Macbook Pro,1,Early2011,,,,,13,,4GB,320GB,2.3 i5
MacPro Mid2011 13' 2.66 4GB Ram 500GB,750,425,200,Macbook,Macbook Pro,1,Mid2011,,,,,13,,4GB,500GB,2.66
MacPro Mid2011 13' 2.4 4GB Ram 250GB,400,300,150,Macbook,Macbook Pro,1,Mid2011,,,,,13,,4GB,250GB,2.4
,,,,,,,,,,,,,,,,
MacPro Mid2012 Retina 2.3Q i7 8G Ram 256 Flash,1900,1500,750,Macbook,Macbook Pro,1,Mid2012,,,,,15,TRUE,8GB,256 Flash,2.3 Quad-core i7
MacPro Mid2012 Retina 2.6Q i7 8G Ram 512 Flash,2500,2200,1100,Macbook,Macbook Pro,1,Mid2012,,,,,15,TRUE,8GB,512 Flash,2.6 Quad-core i7
MacPro Mid2012 15' 2.3Q i7 4G Ram 500GB,1500,1200,600,Macbook,Macbook Pro,1,Mid2012,,,,,15,,4GB,500GB,2.3 Quad-core i7
MacPro Mid2012 15' 2.6Q i7 4G Ram 750GB,2000,1650,750,Macbook,Macbook Pro,1,Mid2012,,,,,15,,4GB,750GB,2.6 Quad-core i7
MacPro Late2011 15' 2.4 Quad Core i7 4GB 750GB,1200,950,425,Macbook,Macbook Pro,1,Late2011,,,,,13,,4GB,750GB,2.4 Quad-core i7
MacPro Late2011 15' 2.2 Quad Core i7 4GB 500GB,800,550,257.5,Macbook,Macbook Pro,1,Late2011,,,,,15,,4GB,500GB,2.2 Quad-core i7
MacPro Early2011 15' 2.2 Quad Core i7 4GB 750GB,950,700,350,Macbook,Macbook Pro,1,Early2011,,,,,15,,4GB,750GB,2.2 Quad-core i7
MacPro Early2011 15' 2.0 Quad Core i7 4GB 500GB,900,670,320,Macbook,Macbook Pro,1,Early2011,,,,,15,,4GB,500GB,2.0 Quad-core i7
MacPro Mid2010 15' 2.66 i7 4GB 500GB,850,620,300,Macbook,Macbook Pro,1,Mid2010,,,,,15,,4GB,500GB,2.66 i7
MacPro Mid2010 15' 2.53 i5 4GB 500GB,600,400,200,Macbook,Macbook Pro,1,Mid2010,,,,,15,,4GB,500GB,2.53 i5
MacPro Mid2010 15' 2.4 i5 4GB 500GB,600,380,210,Macbook,Macbook Pro,1,Mid2010,,,,,15,,4GB,500GB,2.4 i5
,,,,,,,,,,,,,,,,
MacPro Late2011 17' 2.4Q 4GB 750GB,1600,1300,750,Macbook,Macbook Pro,1,Late2011,,,,,17,,4GB,750GB,2.4 Quad-core
MacPro Early2011 17' 2.2Q i7 4GB 750GB,1400,1150,500,Macbook,Macbook Pro,1,Early2011,,,,,17,,4GB,750GB,2.2 Quad-core i7
MacPro Mid2010 17' 2.53 i5 4GB 500GB,1200,950,400,Macbook,Macbook Pro,1,Mid2010,,,,,17,,4GB,500GB,2.53 Quad-core i5
,,,,,,,,,,,,,,,,
MacAir 13' Mid2012 1.8GHZ 4GB RAM 128 Flash,1000,850,425,Macbook,Macbook Air,1,Mid2012,,,,,13,,4GB,128 Flash,1.8
MacAir 13' Mid2012 2.0GHZ 4GB RAM 256 Flash,1100,900,400,Macbook,Macbook Air,1,Mid2012,,,,,13,,4GB,256 Flash,2
